"LoanID","Age","Income","LoanAmount","CreditScore","MonthsEmployed","NumCreditLines","InterestRate","LoanTerm","DTIRatio","Education","EmploymentType","MaritalStatus","HasMortgage","HasDependents","LoanPurpose","HasCoSigner","Default"
"7NTW0MEW93",31,49258,61608,499,4,1,17.19,60,0.2,"PhD","Unemployed","Divorced","Yes","Yes","Business","No",0
"MYYLI7RX5E",19,90251,7538,759,92,1,12.48,36,0.73,"High School","Unemployed","Divorced","No","Yes","Business","No",0
"OO2MR71K4H",23,81436,125591,757,77,4,11.07,24,0.21,"High School","Full-time","Divorced","Yes","Yes","Education","Yes",0
"HGY8YG9UF1",22,37375,9772,651,116,4,6.08,24,0.68,"PhD","Self-employed","Divorced","No","Yes","Other","No",0
"R2E7SUPZQD",26,124778,59495,726,15,3,19.12,24,0.38,"Master's","Part-time","Single","No","Yes","Business","Yes",0
"WPT20OM00Y",63,128708,205766,769,5,3,10.75,60,0.75,"PhD","Full-time","Single","No","No","Other","No",0
"I1JNVBNMRY",38,116991,78981,848,49,3,20.93,12,0.78,"PhD","Unemployed","Single","No","Yes","Education","No",0
"KYIGQGAGMT",27,56498,213886,721,50,3,18.28,36,0.73,"Master's","Unemployed","Single","Yes","No","Auto","No",0
"47SOWG5PZ8",34,125082,66945,807,116,2,20.11,36,0.14,"PhD","Full-time","Married","No","No","Auto","No",0
"TFW9A3E4O2",41,32714,49944,397,21,1,24.32,12,0.84,"Master's","Unemployed","Single","Yes","Yes","Education","No",0
"01RD5GZZKK",26,124786,134947,302,6,2,13.52,12,0.34,"Bachelor's","Part-time","Single","No","Yes","Other","Yes",0
"UYJ6KT7U41",44,108601,90434,431,108,4,5.34,48,0.62,"High School","Part-time","Married","No","No","Education","Yes",0
"OJSQG6UO9Z",46,67810,116553,314,95,4,24.07,60,0.47,"Master's","Full-time","Single","Yes","No","Other","Yes",0
"UN7YCGVPEM",68,21771,119921,660,62,1,3.62,48,0.72,"Master's","Unemployed","Divorced","Yes","No","Other","Yes",0
"13O0JESYB4",26,137915,144270,324,63,2,22.38,36,0.21,"PhD","Self-employed","Divorced","Yes","No","Auto","No",0
"Q3XFNOGI4F",46,81675,219696,397,52,2,13.88,24,0.66,"PhD","Unemployed","Single","No","No","Other","No",0
"HE9PMR4RWX",65,146762,201780,365,72,1,11.47,36,0.82,"PhD","Full-time","Single","Yes","No","Other","Yes",0
"7M7LL2LTMZ",42,50307,112542,811,86,4,13.14,12,0.28,"Bachelor's","Unemployed","Single","Yes","Yes","Education","No",0
"P19UV48424",37,80512,195894,703,35,4,17.9,12,0.27,"Master's","Self-employed","Married","Yes","No","Business","No",0
"BOSMCE2TV3",24,66429,68991,634,116,3,2.33,48,0.3,"PhD","Full-time","Single","No","No","Business","Yes",0
"0C7VX82VI2",57,19505,102730,738,58,2,3.04,12,0.64,"PhD","Full-time","Divorced","Yes","Yes","Education","No",0
"WOZQVT0MPF",19,126617,26711,453,103,2,16.89,12,0.16,"High School","Full-time","Divorced","No","No","Education","No",0
"HRULRNYNNQ",44,44745,27118,330,57,2,15.51,24,0.77,"Master's","Self-employed","Divorced","Yes","Yes","Home","No",0
"4CC65ZGX38",39,45723,211889,450,50,4,24.63,48,0.5,"Master's","Unemployed","Married","Yes","No","Education","Yes",0
"5J7XXDV8OI",52,37708,236871,666,119,4,16.86,36,0.81,"Bachelor's","Part-time","Single","Yes","Yes","Auto","Yes",0
"G1E81W639A",67,83567,51344,790,75,2,11.1,12,0.68,"Master's","Part-time","Divorced","Yes","No","Auto","Yes",0
"2HQ1NE3NVC",31,124143,107811,700,32,4,23.67,24,0.34,"Master's","Part-time","Married","No","No","Home","No",0
"YQUVHPRDTT",62,39276,135268,417,103,4,17.87,36,0.34,"PhD","Full-time","Divorced","Yes","No","Business","Yes",0
"25SKF67M55",37,131472,49311,508,41,1,7.98,36,0.1,"PhD","Part-time","Married","Yes","Yes","Home","Yes",0
"SALMVJUOSW",24,135783,214963,803,118,4,6.71,12,0.89,"Master's","Unemployed","Single","No","Yes","Home","Yes",0
"SY5VIJLOFL",57,110221,12359,535,37,1,7.09,36,0.53,"PhD","Self-employed","Married","Yes","No","Business","Yes",0
"ULAVO1GRP4",59,146423,175145,372,69,3,21.64,12,0.31,"PhD","Self-employed","Divorced","No","Yes","Auto","No",0
"H7238YIK42",39,30204,216540,604,55,4,23.37,12,0.7,"High School","Unemployed","Married","No","No","Other","Yes",0
"EZGEKSKNRM",57,107393,64909,359,36,4,23.85,36,0.41,"Master's","Self-employed","Married","No","Yes","Other","No",0
"POWHB17ZSM",42,140842,214677,678,77,1,2.22,48,0.51,"Master's","Part-time","Single","Yes","Yes","Business","Yes",0
"VRJ3OCRAIW",37,62857,199024,533,54,3,4.63,48,0.49,"PhD","Unemployed","Divorced","Yes","Yes","Home","Yes",0
"S0MZ7RLCXA",28,142491,247413,356,85,4,4.95,48,0.37,"Bachelor's","Unemployed","Single","No","Yes","Education","Yes",0
"7ASF0IHRIT",61,30142,133714,429,96,1,15.58,12,0.65,"PhD","Part-time","Divorced","No","Yes","Business","No",0
"9LMAFEDBJG",54,126021,182273,566,113,4,15.1,12,0.75,"Bachelor's","Self-employed","Divorced","Yes","Yes","Business","No",0
"Q4YCEPXSVW",22,106338,33017,464,8,1,12.58,24,0.74,"Master's","Self-employed","Divorced","Yes","Yes","Education","No",0
"5N9KO9XZRM",68,63983,233646,812,96,2,17.71,24,0.73,"Master's","Full-time","Divorced","No","No","Other","No",0
"U5EA1P2R3E",67,32006,215650,789,100,1,5.99,48,0.4,"High School","Unemployed","Single","Yes","Yes","Auto","Yes",0
